artist_id,artist_name
3684,林俊杰
2116,陈奕迅
5781,薛之谦
6472,张杰
12193174,Capper
6452,周杰伦
865007,法老
4292,李荣浩
33863232,罗言
6731,赵雷
5771,许嵩
12138269,毛不易
1143033,队长
31376161,颜人中
2843,郭顶
29051613,郑润泽
12631485,h3R3
36985903,海洋Bo
5538,汪苏泷
12002248,沈以诚
1132392,马思唯
37123911,Zy
5346,王力宏
1030001,周深
6460,张学友
12570417,那奇沃夫
861777,华晨宇
12236125,王以太
48918817,柯柯柯啊
47091532,王赫野
1204010,Tizzy T
5196,陶喆
31165848,刘大壮
49937403,烟(许佳豪)
2738,方大同
12395355,盛哲
33435854,要不要买菜
12178015,费米Frieme
29235210,Aioz
13899303,杨和苏KeyNG
1203045,艾热 AIR
12429072,隔壁老樊
29392693,邵帅
31309410,XMASwu(吴骜)
1079074,余佳运
1197168,徐秉龙
2849,古巨基
3699,李克勤
32099752,30年前，50年后
31002901,MoreLearn 27
12030367,刘思达LOFTHESTAR
1198123,姜云升
13112601,Wiz_H张子豪
12277194,LBI利比
27868624,KnowKnow
12788674,KEY.L刘聪
6457,张国荣
784257,Jony J
12852319,小田音乐社
30116848,阿冗
6454,张信哲
12037117,YOUNG
188141,满舒克
3066,胡彦斌
5770,许巍
12498266,卦者灵风
166010,梁博
4479,MC HotDog 热狗
980025,周兴哲
36772893,Starling8
12798217,刘思鉴
12121264,Ice Paper
6066,杨宗纬
51613721,FIVESTAR
33426947,呆呆破
32399227,王巨星
28862362,火鸡
12060040,杜宣达
15199791,林达浪
6453,张震岳
12382128,王子健
1083118,王嘉尔
1211046,GAI周延
12084229,焦迈奇
6479,周柏豪
3793,陆虎
5205,谭咏麟
31062035,曲甲
12127362,GALI
5358,王杰
32897995,7copy
30109388,贝乐虎
31668975,Lambert
31561897,沙一汀EL
1019154,黄礼格
30616479,小咪
36080509,虎皮蛋
32645255,暴躁的兔子
6652,周传雄
12198387,艾志恒Asen
32099752,30年前，50年后
32897995,7copy
12954319,-艾兜
31250400,#0000FF
12782624,4D
12606242,8bite
15060505,89DX
28420071,舵
13286745,еяхат музыка
37444918,魔动闪霸
29938303,桶
47962768,川
12643355,947.ASH
48283736,ㅤ
12553076,眠
29812222,朱云龙
31287463,苟晨浩宇
35724488,каᴅiʀ музыка
56705193,13z
34097618,劉
48570057,KBR
34200362,8Rafrain
51705957,3rq
13413199,韩泪玉
33955037,8oboo
30962717,7up
37675238,9OVE
13500447,ØZI
31763792,24Buck
33305848,.Laom
34501137,小何何
51279867,Джалал Музыка
49332883,7Teen
12204164,ɴᴏᴛʜɪɴɢ.
37621718,⁺Treesmooth⁺
130149,69
28411430,3FAD倪子涛
37115071,饭卡
49346181,泷
48676860,胖胖的恶魔
12464050,4_Chords
48988226,m
30648241,10Yil
32505436,小恶魔
36456378,Ариф
52303612,9Y.
30906356,十三叔
12002030,TSUNANO
54502443,100 Muda
50928738,彡
13132656,71
49594972,Myling
50258611,阳
36938891,✧*｡Darkyoungboy71✧*｡
34853957,e
33613415,訫
54707561,瀚
34783749,7evens
34492830,西
36621564,мардан муталипзаев
12782871,$唐老师
35954968,1CEKary
50999368,7VUY
13524040,杜逸风 Firewind SoKu
12200178,21st Century Schizoid Man
52264790,丰
977173,3Bangz
54526851,0917
37550745,-Gwen
34494746,АуылBoy
37099339,瘪
37001880,ACOLDSWORDER
14114806,HowZ
12328829,6＆9
30671850,沈辑
51706149,月
52893279,郑熙衍
12489024,dj music
36192183,Αδ
36344105,ᵉE
13197756,鲤
35252293,Уйгурская музыка
54011407,曲鹰松保
30955822,埃莱克ilike
12554100,Damn5Z
52253444,ElHaM Official
33135441,Ryo月笹舟
48641842,吴
12025631,2-DO
52475130,A14
208391,7JZ
49731462,-也许什么都来不及-
13528284,10keys beats
32435421,RIFELES
13611855,10Ri
48356029,8MUZ
32929724,5音
50664314,果
47910705,❁
28182224,伦恒
29235210,Aioz
1203045,艾热 AIR
30116848,阿冗
12198387,艾志恒Asen
12875936,康熙
12174057,艾辰
31093891,阿虾
12127564,艾福杰尼
1198010,暗杠
30709773,Abdulla Abdurehim 阿不都拉
12367021,AlimjanHasan
12288442,AnsrJ
1876,阿杜
34659452,AFMC黑子
1087200,AThree
2422,阿鲲
12259037,AniFace
27729325,AnimeVibe
1132222,AbduwaliTohti
12002184,AR刘夫阳
34821168,AREZ
33347494,阿彻
30379539,ALisa
33914952,Arkin-Kiram
52629322,9liur
31559518,Alaric的窗台
34586522,Gentleman
50757921,AIYM
