song_id,genre,artist,lyrics,duration
song_0,hip-hop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",296
song_1,jazz,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",448
song_2,rock,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",434
song_3,jazz,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",243
song_4,classical,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",331
song_5,rock,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",358
song_6,rock,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",219
song_7,pop,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",460
song_8,pop,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",334
song_9,rock,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",600
song_10,classical,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",424
song_11,rock,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",429
song_12,pop,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",213
song_13,hip-hop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",234
song_14,classical,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",438
song_15,pop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",548
song_16,pop,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",376
song_17,rock,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",349
song_18,classical,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",219
song_19,hip-hop,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",254
song_20,jazz,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",491
song_21,pop,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",437
song_22,classical,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",496
song_23,jazz,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",570
song_24,rock,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",265
song_25,rock,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",276
song_26,jazz,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",415
song_27,pop,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",412
song_28,hip-hop,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",362
song_29,hip-hop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",349
song_30,jazz,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",302
song_31,jazz,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",303
song_32,classical,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",221
song_33,rock,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",464
song_34,classical,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",598
song_35,pop,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",498
song_36,jazz,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",496
song_37,hip-hop,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",595
song_38,jazz,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",285
song_39,rock,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",514
song_40,pop,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",541
song_41,classical,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",216
song_42,classical,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",543
song_43,rock,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",238
song_44,classical,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",346
song_45,classical,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",410
song_46,hip-hop,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",530
song_47,classical,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",247
song_48,hip-hop,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",560
song_49,pop,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",522
song_50,classical,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",481
song_51,pop,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",204
song_52,classical,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",371
song_53,pop,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",381
song_54,rock,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",378
song_55,jazz,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",506
song_56,hip-hop,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",438
song_57,jazz,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",549
song_58,hip-hop,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",496
song_59,hip-hop,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",468
song_60,pop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",244
song_61,jazz,artist_9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",402
song_62,hip-hop,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",571
song_63,jazz,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",401
song_64,hip-hop,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",396
song_65,jazz,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",185
song_66,pop,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",229
song_67,rock,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",270
song_68,jazz,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",248
song_69,pop,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",479
song_70,pop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",361
song_71,pop,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",561
song_72,pop,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",301
song_73,classical,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",252
song_74,jazz,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",222
song_75,hip-hop,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",297
song_76,classical,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",278
song_77,jazz,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",346
song_78,hip-hop,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",500
song_79,rock,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",417
song_80,classical,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",210
song_81,rock,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",369
song_82,pop,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",490
song_83,jazz,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",232
song_84,pop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",364
song_85,jazz,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",242
song_86,hip-hop,artist_3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",307
song_87,rock,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",215
song_88,pop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",599
song_89,hip-hop,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",598
song_90,hip-hop,artist_8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",410
song_91,classical,artist_2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",200
song_92,classical,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",555
song_93,pop,artist_10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",201
song_94,pop,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",596
song_95,rock,artist_4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",443
song_96,pop,artist_1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",454
song_97,jazz,artist_6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",522
song_98,classical,artist_5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",404
song_99,rock,artist_7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit.",585
