suid,singer_name,singer_url
160963,FLYING KIDS,https://music.163.com/#/artist?id=160963
12073081,tothegood,https://music.163.com/#/artist?id=12073081
30986109,betcover!!,https://music.163.com/#/artist?id=30986109
14946041,Honest,https://music.163.com/#/artist?id=14946041
49439905,X-y,https://music.163.com/#/artist?id=49439905
911108,Little Story,https://music.163.com/#/artist?id=911108
1019454,Xentrifuge,https://music.163.com/#/artist?id=1019454
12417142,池毅,https://music.163.com/#/artist?id=12417142
12279753,Rosie Carney,https://music.163.com/#/artist?id=12279753
20966,paris match,https://music.163.com/#/artist?id=20966
28682593,Nukie,https://music.163.com/#/artist?id=28682593
12606,轻松玩,https://music.163.com/#/artist?id=12606
12676440,七瀬彩夏,https://music.163.com/#/artist?id=12676440
11293,Claustrophobia,https://music.163.com/#/artist?id=11293
28083424,YooA,https://music.163.com/#/artist?id=28083424
896557,WINGS,https://music.163.com/#/artist?id=896557
12974158,Ozoda Nursaidova,https://music.163.com/#/artist?id=12974158
49213944,ivory iris,https://music.163.com/#/artist?id=49213944
12046827,Masayoshi Iimori,https://music.163.com/#/artist?id=12046827
70353,Onyx,https://music.163.com/#/artist?id=70353
15443,新城P,https://music.163.com/#/artist?id=15443
331347,Xana,https://music.163.com/#/artist?id=331347
127591,神飞,https://music.163.com/#/artist?id=127591
11979033,jinsang,https://music.163.com/#/artist?id=11979033
1102243,소각소각,https://music.163.com/#/artist?id=1102243
28083401,宮下早紀,https://music.163.com/#/artist?id=28083401
124837,The Quiett,https://music.163.com/#/artist?id=124837
1038057,Vianz&Shan葳宣&葳安,https://music.163.com/#/artist?id=1038057
31345427,粉蒸兔头,https://music.163.com/#/artist?id=31345427
12073892,FRANK DAVID,https://music.163.com/#/artist?id=12073892
104500,Ultravox,https://music.163.com/#/artist?id=104500
37198851,小兔森Koumori,https://music.163.com/#/artist?id=37198851
1051004,宋茜,https://music.163.com/#/artist?id=1051004
51528611,费成龙,https://music.163.com/#/artist?id=51528611
47683887,zohra ismayil,https://music.163.com/#/artist?id=47683887
169153,House Nation,https://music.163.com/#/artist?id=169153
32436299,徐17,https://music.163.com/#/artist?id=32436299
12915223,麻天狼,https://music.163.com/#/artist?id=12915223
30003449,Dekeu,https://music.163.com/#/artist?id=30003449
54459677,Queenz Eye,https://music.163.com/#/artist?id=54459677
47767744,Kimmy,https://music.163.com/#/artist?id=47767744
32912344,宋晓,https://music.163.com/#/artist?id=32912344
127627,The S#Arp,https://music.163.com/#/artist?id=127627
29497267,Energes,https://music.163.com/#/artist?id=29497267
31439580,Umut_Alim,https://music.163.com/#/artist?id=31439580
30347128,Ellyoun,https://music.163.com/#/artist?id=30347128
12995213,GRIUN,https://music.163.com/#/artist?id=12995213
123846,金振彪,https://music.163.com/#/artist?id=123846
31154596,Quote & Converse,https://music.163.com/#/artist?id=31154596
47177924,髙橋ミナミ,https://music.163.com/#/artist?id=47177924
13059204,Iris Temple,https://music.163.com/#/artist?id=13059204
123429,DJ Hyo,https://music.163.com/#/artist?id=123429
13237,玩具船长,https://music.163.com/#/artist?id=13237
12108740,rainlord.,https://music.163.com/#/artist?id=12108740
34216586,IAN POST,https://music.163.com/#/artist?id=34216586
160748,패티김,https://music.163.com/#/artist?id=160748
17148,丸山圭子,https://music.163.com/#/artist?id=17148
12463317,Unusual,https://music.163.com/#/artist?id=12463317
30578943,ID,https://music.163.com/#/artist?id=30578943
29863952,珉豪,https://music.163.com/#/artist?id=29863952
18345,96猫,https://music.163.com/#/artist?id=18345
12376041,EXP EDITION,https://music.163.com/#/artist?id=12376041
947185,Young Rising Sons,https://music.163.com/#/artist?id=947185
37342402,Madina-Mamatjan,https://music.163.com/#/artist?id=37342402
36027639,Pariha-Mamat,https://music.163.com/#/artist?id=36027639
84840,小野洋子,https://music.163.com/#/artist?id=84840
36301312,鱼丁糸,https://music.163.com/#/artist?id=36301312
15101423,Visca,https://music.163.com/#/artist?id=15101423
48541884,VVS MUSIC,https://music.163.com/#/artist?id=48541884
70776,Our Last Night,https://music.163.com/#/artist?id=70776
50983,Юлия Савичева,https://music.163.com/#/artist?id=50983
49347169,泰葉,https://music.163.com/#/artist?id=49347169
48423165,行崽ou,https://music.163.com/#/artist?id=48423165
62826,Jessie Ware,https://music.163.com/#/artist?id=62826
34870897,WAVE FACTORY,https://music.163.com/#/artist?id=34870897
161865,倖田來未,https://music.163.com/#/artist?id=161865
13024274,Tart,https://music.163.com/#/artist?id=13024274
15397,崎元仁,https://music.163.com/#/artist?id=15397
12308391,Oeight零八,https://music.163.com/#/artist?id=12308391
45853,William Joseph,https://music.163.com/#/artist?id=45853
34349165,堇不,https://music.163.com/#/artist?id=34349165
12023447,어스,https://music.163.com/#/artist?id=12023447
31762894,康佬,https://music.163.com/#/artist?id=31762894
17702,椎名恵,https://music.163.com/#/artist?id=17702
159637,でんぱ組.inc,https://music.163.com/#/artist?id=159637
41556,PJ Morton,https://music.163.com/#/artist?id=41556
47135141,Ray_Oh,https://music.163.com/#/artist?id=47135141
12263705,Eren,https://music.163.com/#/artist?id=12263705
12544560,TRA$H,https://music.163.com/#/artist?id=12544560
1047282,泠鸢yousa,https://music.163.com/#/artist?id=1047282
13431135,Gülcan Opel,https://music.163.com/#/artist?id=13431135
31032362,혜화동로터리,https://music.163.com/#/artist?id=31032362
12213044,Wina D'Hebring,https://music.163.com/#/artist?id=12213044
37342327,Rock-刀客,https://music.163.com/#/artist?id=37342327
17385,仁藤優子,https://music.163.com/#/artist?id=17385
12609246,Ghost!!cyber kid,https://music.163.com/#/artist?id=12609246
34276830,DARA组合,https://music.163.com/#/artist?id=34276830
50519419,EIJI,https://music.163.com/#/artist?id=50519419
49683132,5pb酱,https://music.163.com/#/artist?id=49683132
963395,荒木香衣,https://music.163.com/#/artist?id=963395
33425353,PuffNoCap,https://music.163.com/#/artist?id=33425353
32024816,傻子与白痴,https://music.163.com/#/artist?id=32024816
935061,朴敏惠,https://music.163.com/#/artist?id=935061
12273353,WONJI,https://music.163.com/#/artist?id=12273353
12488194,Aftermath,https://music.163.com/#/artist?id=12488194
12458062,Olinaip,https://music.163.com/#/artist?id=12458062
104990,Vazquez Sounds,https://music.163.com/#/artist?id=104990
31653187,Lilly Carron,https://music.163.com/#/artist?id=31653187
1132885,nemoo,https://music.163.com/#/artist?id=1132885
34512,Helloween,https://music.163.com/#/artist?id=34512
12348402,那須めぐみ,https://music.163.com/#/artist?id=12348402
11977114,金永姙,https://music.163.com/#/artist?id=11977114
49795473,Mulan,https://music.163.com/#/artist?id=49795473
12488230,Nick & Sammy,https://music.163.com/#/artist?id=12488230
12781682,D4 Music,https://music.163.com/#/artist?id=12781682
13579062,Milf & Deaf,https://music.163.com/#/artist?id=13579062
46680778,Edhem,https://music.163.com/#/artist?id=46680778
367706,Bang Cuong,https://music.163.com/#/artist?id=367706
12711782,Lydia Lee,https://music.163.com/#/artist?id=12711782
1049887,Swell,https://music.163.com/#/artist?id=1049887
12608123,glowingdog,https://music.163.com/#/artist?id=12608123
33850865,Jac,https://music.163.com/#/artist?id=33850865
50621104,ImanAganj,https://music.163.com/#/artist?id=50621104
46705862,钨糊儿,https://music.163.com/#/artist?id=46705862
52354774,起硕,https://music.163.com/#/artist?id=52354774
33261236,派星儿,https://music.163.com/#/artist?id=33261236
49103473,纸嫁衣,https://music.163.com/#/artist?id=49103473
12232013,OTR,https://music.163.com/#/artist?id=12232013
12103,科尔沁草原姐妹,https://music.163.com/#/artist?id=12103
53313,Deva Premal,https://music.163.com/#/artist?id=53313
15024041,咖啡师经典,https://music.163.com/#/artist?id=15024041
15849,YOSHIKI,https://music.163.com/#/artist?id=15849
31962014,Dulcim_嘟,https://music.163.com/#/artist?id=31962014
124907,Davink,https://music.163.com/#/artist?id=124907
127435,Pepper Mint,https://music.163.com/#/artist?id=127435
150972,Millennium,https://music.163.com/#/artist?id=150972
13499572,Dr. P. Srinivas,https://music.163.com/#/artist?id=13499572
50442224,Tuck Siriporn,https://music.163.com/#/artist?id=50442224
125499,具惠善,https://music.163.com/#/artist?id=125499
55541336,自然段,https://music.163.com/#/artist?id=55541336
54669,Dalida,https://music.163.com/#/artist?id=54669
12713949,Letto,https://music.163.com/#/artist?id=12713949
129821,Zut,https://music.163.com/#/artist?id=129821
55340169,ftrygry,https://music.163.com/#/artist?id=55340169
13681634,轻墨安源,https://music.163.com/#/artist?id=13681634
1124187,BB Diamond,https://music.163.com/#/artist?id=1124187
14143678,Robbie Rosen,https://music.163.com/#/artist?id=14143678
56815,Family Force 5,https://music.163.com/#/artist?id=56815
50274315,TOKBINL,https://music.163.com/#/artist?id=50274315
32243846,Fast Boy,https://music.163.com/#/artist?id=32243846
36414061,BIN,https://music.163.com/#/artist?id=36414061
42935,Shayne Ward,https://music.163.com/#/artist?id=42935
13045064,Newen Afrobeat,https://music.163.com/#/artist?id=13045064
14472669,Artista Invitado,https://music.163.com/#/artist?id=14472669
19924,IRabBits,https://music.163.com/#/artist?id=19924
29653694,Cathrine Lassen,https://music.163.com/#/artist?id=29653694
30001612,momo,https://music.163.com/#/artist?id=30001612
28103490,Rita,https://music.163.com/#/artist?id=28103490
35111369,Laufey,https://music.163.com/#/artist?id=35111369
46359842,红羽くん,https://music.163.com/#/artist?id=46359842
12260133,REMMI,https://music.163.com/#/artist?id=12260133
12023319,Cigarettes After Sex,https://music.163.com/#/artist?id=12023319
12115149,CoolZ,https://music.163.com/#/artist?id=12115149
53933090,綾瀬なりさ,https://music.163.com/#/artist?id=53933090
12301360,Zara Arshakian,https://music.163.com/#/artist?id=12301360
1187009,혼자노는양,https://music.163.com/#/artist?id=1187009
29738603,濵田有共,https://music.163.com/#/artist?id=29738603
19899,I's CUBE,https://music.163.com/#/artist?id=19899
