iid,song_name,song_url,suid,playcnt,album,down_url,song_time,picUrl,publishTime,isDelete
唯一,https://music.163.com/#/song?id=1807799505,12676697,49,运气来得若有似无,http://music.163.com/song/media/outer/url?id=1807799505.mp3,0,http://p2.music.126.net/5URIeP6GjMFg_hKhGloNTA==/109951165585701063.jpg,publishTime,1
撒野,https://music.163.com/#/song?id=483937795,12003038,86,撒野,http://music.163.com/song/media/outer/url?id=483937795.mp3,0,http://p2.music.126.net/cTMQotCcZqabLkv7c1zntA==/109951166267066450.jpg,publishTime,1
アンヘル,https://music.163.com/#/song?id=1376659382,14670,69,鳴花ヒメ・ミコト Demo Sampler,http://music.163.com/song/media/outer/url?id=1376659382.mp3,0,http://p2.music.126.net/rifoF-TLqZuh--pBh_lubA==/109951168113100499.jpg,publishTime,1
最后一束花,https://music.163.com/#/song?id=1951912232,32139022,34,最后一束花,http://music.163.com/song/media/outer/url?id=1951912232.mp3,0,http://p1.music.126.net/naVTweP8CI03b5B6IYdEdQ==/109951167493543322.jpg,publishTime,1
Angel computer (feat. Aiobahn),https://music.163.com/#/song?id=1915701042,47734911,6,「NEEDY GIRL OVERDOSE」 Soundtrack,http://music.163.com/song/media/outer/url?id=1915701042.mp3,0,http://p2.music.126.net/OucCVVHrI_hoAsX3NfL0Rw==/109951167231084350.jpg,publishTime,1
我说我有点愧疚,https://music.163.com/#/song?id=1943012589,52436222,65,弹棉花的小花,http://music.163.com/song/media/outer/url?id=1943012589.mp3,0,http://p1.music.126.net/kJkx0p0w_4KFP_XTlHdwCA==/109951167355099787.jpg,publishTime,1
Girls Love Rod Wave,https://music.163.com/#/song?id=1920496749,34224129,41,Girls Love Rod Wave,http://music.163.com/song/media/outer/url?id=1920496749.mp3,0,http://p2.music.126.net/sCGRGW5Qg1yeShzOucuccg==/109951167052605780.jpg,publishTime,1
不做你的朋友,https://music.163.com/#/song?id=1494283005,33900743,80,不做你的朋友,http://music.163.com/song/media/outer/url?id=1494283005.mp3,0,http://p2.music.126.net/rgIg7Rq001mvRS29kA3pXw==/109951165458818666.jpg,publishTime,1
晚风,https://music.163.com/#/song?id=2041013845,34559500,73,晚风,http://music.163.com/song/media/outer/url?id=2041013845.mp3,0,http://p2.music.126.net/F0MHCw4x5Gh3jog2btA0jQ==/109951168558060431.jpg,publishTime,1
心也如履薄冰,https://music.163.com/#/song?id=2033944867,56040100,80,SVIP,http://music.163.com/song/media/outer/url?id=2033944867.mp3,0,http://p2.music.126.net/H6GpgT0qC3FRALhDxX0Bdg==/109951168501278803.jpg,publishTime,1
命运（0.8x）,https://music.163.com/#/song?id=1959028063,52894009,29,命运（0.8x）,http://music.163.com/song/media/outer/url?id=1959028063.mp3,0,http://p2.music.126.net/mNZP7NvMpCQu7lOmlIn6Lw==/109951167562625799.jpg,publishTime,1
至少还有你(最火版),https://music.163.com/#/song?id=1836115162,47191031,54,至少还有你,http://music.163.com/song/media/outer/url?id=1836115162.mp3,0,http://p2.music.126.net/F5VCUyEtMKIuWnZ69Hs5Ag==/109951165889979294.jpg,publishTime,1
san nada,https://music.163.com/#/song?id=1830753158,47194291,70,tallanma,http://music.163.com/song/media/outer/url?id=1830753158.mp3,0,http://p2.music.126.net/5o8WZ-x8ETTCRTNJvGKgZA==/109951165817044510.jpg,publishTime,1
双子座,https://music.163.com/#/song?id=1952839183,31561897,72,双子座,http://music.163.com/song/media/outer/url?id=1952839183.mp3,0,http://p1.music.126.net/6PAUHabIexctu73QwgwC3w==/109951167504032137.jpg,publishTime,1
秋酿,https://music.163.com/#/song?id=30635613,1050282,76,房东的猫,http://music.163.com/song/media/outer/url?id=30635613.mp3,0,http://p1.music.126.net/XSCmc9ZbWcpeizDya2g6JQ==/18598239185572641.jpg,publishTime,1
Gumanim bar,https://music.163.com/#/song?id=1479729375,12028162,5,Gumanim Bar,http://music.163.com/song/media/outer/url?id=1479729375.mp3,0,http://p2.music.126.net/JmxwgZO583WJ68gupwseXg==/109951165321427427.jpg,publishTime,1
The Box,https://music.163.com/#/song?id=1444323475,27695866,7,Flossin',http://music.163.com/song/media/outer/url?id=1444323475.mp3,0,http://p1.music.126.net/1SHedvRV4olay2xBRMtOew==/109951164947514770.jpg,publishTime,1
浪人情歌 (Live版),https://music.163.com/#/song?id=2042835541,6066,1,声生不息·宝岛季 第7期,http://music.163.com/song/media/outer/url?id=2042835541.mp3,0,http://p2.music.126.net/4rzLEHdVRRnKKVkX2LeeeQ==/109951168573181453.jpg,publishTime,1
那一首歌,https://music.163.com/#/song?id=1850219401,12283512,38,而立,http://music.163.com/song/media/outer/url?id=1850219401.mp3,0,http://p1.music.126.net/XoueLGbHnG-EDbLwXFjUvg==/109951166055723990.jpg,publishTime,1
