"id","suid","singer_name","singer_url"
"0000001","896894","贰佰","https://music.163.com/#/artist?id=896894"
"0000002","12429072","隔壁老樊","https://music.163.com/#/artist?id=12429072"
"0000003","00000000","索扎/尖参  （Jason j）","Don't have a url"
"0000004","13223","万能青年旅店","https://music.163.com/#/artist?id=13223"
"0000005","12074125","ANU","https://music.163.com/#/artist?id=12074125"
"0000006","12032141","阿尔肯arghn","https://music.163.com/#/artist?id=12032141"
"0000007","1195036","小海","https://music.163.com/#/artist?id=1195036"
"0000008","956454","Arijit Singh","https://music.163.com/#/artist?id=956454"
"0000009","1058228","陈鸿宇","https://music.163.com/#/artist?id=1058228"
"0000010","47097","Achim Reichel","https://music.163.com/#/artist?id=47097"
"0000011","70840","Passenger","https://music.163.com/#/artist?id=70840"
"0000012","74625","Sia","https://music.163.com/#/artist?id=74625"
"0000013","12236125","王以太","https://music.163.com/#/artist?id=12236125"
"0000014","102919","The Band Perry","https://music.163.com/#/artist?id=102919"
"0000015","1014024","茶季杨","https://music.163.com/#/artist?id=1014024"
"0000016","1039873","茄子蛋","https://music.163.com/#/artist?id=1039873"
"0000017","12760978","广东雨神","https://music.163.com/#/artist?id=12760978"
"0000018","12311584","Rido","https://music.163.com/#/artist?id=12311584"
"0000019","29020","Conor Maynard","https://music.163.com/#/artist?id=29020"
"0000020","1188100","Joel Adams","https://music.163.com/#/artist?id=1188100"
"0000021","12721","Soler","https://music.163.com/#/artist?id=12721"
"0000022","844728","George Ezra","https://music.163.com/#/artist?id=844728"
"0000023","38797","Lukas Graham","https://music.163.com/#/artist?id=38797"
"0000024","11359","达达","https://music.163.com/#/artist?id=11359"
"0000025","861203","陈小熊","https://music.163.com/#/artist?id=861203"
"0000026","6731","赵雷","https://music.163.com/#/artist?id=6731"
"0000027","3146","侯旭","https://music.163.com/#/artist?id=3146"
"0000028","12302029","王冕","https://music.163.com/#/artist?id=12302029"
"0000029","12262803","OtravaMusic","https://music.163.com/#/artist?id=12262803"
"0000030","1007170","陈粒","https://music.163.com/#/artist?id=1007170"
"0000031","29392693","邵帅","https://music.163.com/#/artist?id=29392693"
"0000032","1038353","西楼","https://music.163.com/#/artist?id=1038353"
"0000033","11365","低苦艾乐队","https://music.163.com/#/artist?id=11365"
"0000034","12676071","老王乐队","https://music.163.com/#/artist?id=12676071"
"0000035","5073","宋冬野","https://music.163.com/#/artist?id=5073"
"0000036","1181340","Kids United","https://music.163.com/#/artist?id=1181340"
"0000037","11974049","鹏泊","https://music.163.com/#/artist?id=11974049"
"0000038","31876221","柏松","https://music.163.com/#/artist?id=31876221"
"0000039","12977","逃跑计划","https://music.163.com/#/artist?id=12977"
"0000040","72760","RASA","https://music.163.com/#/artist?id=72760"
"0000041","1060132","柳爽","https://music.163.com/#/artist?id=1060132"
"0000042","3071","郝云","https://music.163.com/#/artist?id=3071"
"0000043","1205015","倪健","https://music.163.com/#/artist?id=1205015"
"0000044","34035556","小乐哥","https://music.163.com/#/artist?id=34035556"
"0000045","4292","李荣浩","https://music.163.com/#/artist?id=4292"
"0000046","12002056","张小九","https://music.163.com/#/artist?id=12002056"
"0000047","11890","Hush!","https://music.163.com/#/artist?id=11890"
"0000048","13128032","王大毛","https://music.163.com/#/artist?id=13128032"
"0000049","12258420","AY楊佬叁/Noor-99","https://music.163.com/#/artist?id=12258420"
"0000050","12499721","Kirsty刘瑾睿","https://music.163.com/#/artist?id=12499721"
"0000051","34019377","吴昱翰","https://music.163.com/#/artist?id=34019377"
"0000052","13609637","马良","https://music.163.com/#/artist?id=13609637"
"0000053","12862084","Бамбинтон","https://music.163.com/#/artist?id=12862084"
"0000054","12003038","凯瑟喵","https://music.163.com/#/artist?id=12003038"
"0000055","12085562","买辣椒也用券","https://music.163.com/#/artist?id=12085562"
"0000056","861777","华晨宇","https://music.163.com/#/artist?id=861777"
"0000057","44262","Tamas Wells","https://music.163.com/#/artist?id=44262"
"0000058","7763","G.E.M.邓紫棋","https://music.163.com/#/artist?id=7763"
"0000059","94968","Joan Jett & the Blackhearts","https://music.163.com/#/artist?id=94968"
"0000060","8926","莫文蔚","https://music.163.com/#/artist?id=8926"
"0000061","1198010","暗杠","https://music.163.com/#/artist?id=1198010"
"0000062","12040030","Lola Coca","https://music.163.com/#/artist?id=12040030"
"0000063","9272","孙燕姿","https://music.163.com/#/artist?id=9272"
"0000064","7409","岑宁儿","https://music.163.com/#/artist?id=7409"
"0000065","1193232","Slushii","https://music.163.com/#/artist?id=1193232"
"0000066","12707","苏打绿","https://music.163.com/#/artist?id=12707"
"0000067","35332","Jason Mraz","https://music.163.com/#/artist?id=35332"
"0000068","31187","Daniel Powter","https://music.163.com/#/artist?id=31187"
"0000069","5538","汪苏泷","https://music.163.com/#/artist?id=5538"
"0000070","298881","Jax","https://music.163.com/#/artist?id=298881"
"0000071","63943","Kim Taylor","https://music.163.com/#/artist?id=63943"
"0000072","104700","Various Artists","https://music.163.com/#/artist?id=104700"
"0000073","6457","张国荣","https://music.163.com/#/artist?id=6457"
"0000074","12399051","Hearts & Colors","https://music.163.com/#/artist?id=12399051"
"0000075","17904","手嶌葵","https://music.163.com/#/artist?id=17904"
"0000076","10473","袁娅维","https://music.163.com/#/artist?id=10473"
"0000077","5781","薛之谦","https://music.163.com/#/artist?id=5781"
"0000078","185017","Simon & Garfunkel","https://music.163.com/#/artist?id=185017"
"0000079","2116","陈奕迅","https://music.163.com/#/artist?id=2116"
"0000080","101982","The Cranberries","https://music.163.com/#/artist?id=101982"
"0000081","12444171","棉子","https://music.163.com/#/artist?id=12444171"
"0000082","66349","MOCCA","https://music.163.com/#/artist?id=66349"
"0000083","187229","吴青峰","https://music.163.com/#/artist?id=187229"
"0000084","12217134","刘雨昕XIN","https://music.163.com/#/artist?id=12217134"
"0000085","4721","朴树","https://music.163.com/#/artist?id=4721"
"0000086","9606","王心凌","https://music.163.com/#/artist?id=9606"
"0000087","9945","萧亚轩","https://music.163.com/#/artist?id=9945"
"0000088","30532580","王明宇","https://music.163.com/#/artist?id=30532580"
"0000089","1094010","摩登兄弟刘宇宁","https://music.163.com/#/artist?id=1094010"
"0000090","1213008","龚子婕JessieG","https://music.163.com/#/artist?id=1213008"
"0000091","34406409","Sodagreen","https://music.163.com/#/artist?id=34406409"
"0000092","31376161","颜人中","https://music.163.com/#/artist?id=31376161"
